隸屬大隊,隸屬中隊,單位名稱,行政區域代碼,地址,電話號碼,傳真號碼,N,E
第五救災救護大隊,第二中隊,彌陀分隊,64000280,827010高雄市彌陀區中正北路7號,(07)6100890,07-610-0891,22.78392301,120.2462656
第五救災救護大隊,第二中隊,永安分隊,64000270,828107高雄市永安區永安路7號,(07)6910073,07-691-0770,22.82311779,120.2368783
第六救災救護大隊,第一中隊,旗山分隊,64000300,842056高雄市旗山區延平一路507號,(07)6612300,07-661-2762,22.88822961,120.4833791
第六救災救護大隊,第一中隊,美濃分隊,64000310,843008高雄市美濃區民生路75號,(07)6812039,07-681-9704,22.90062657,120.542327
第六救災救護大隊,第一中隊,內門分隊,64000350,845051高雄市內門區菜公坑50號,(07)6673334,07-667-3343,22.92961328,120.4585657
第六救災救護大隊,第二中隊,甲仙分隊,64000330,847002高雄市甲仙區林森路2號,(07)6751995,07-675-3852,23.08331447,120.5902528
第六救災救護大隊,第二中隊,那瑪夏分隊,64000380,849001高雄市那瑪夏區平和巷6-2號,(07)6701440,07-670-1742,23.23135961,120.6950388
第六救災救護大隊,第二中隊,杉林分隊,64000340,842054高雄市杉林區清水路中學巷6-1號,(07)6772204,07-677-2214,22.9678624,120.5424233
第六救災救護大隊,第三中隊,六龜分隊,64000320,844001高雄市六龜區民治路9號,(07)6891324,07-689-4101,22.99782837,120.6336159
第六救災救護大隊,第三中隊,寶來分隊,64000320,844004高雄市六龜區中正路137-3號,(07)6881382,07-688-1343,23.11046669,120.7032522
第六救災救護大隊,第三中隊,桃源分隊,64000370,848001高雄市桃源區南進巷199號,(07)6861358,07-686-1359,23.15813756,120.7641659
第六救災救護大隊,第三中隊,茂林分隊,64000360,851001高雄市茂林區茂林巷119號,(07)6801610,07-680-1637,22.89389174,120.6703877
